Date,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
01/01/1980,0.0302,0.1089,-0.0063,0.0653,0.0388,0.0128,0.0139,-0.0129,0.0433,0.0488,0.0804,0.1758,0.0793,0.0809,0.0987,0.2427,0.1599,0.081,0.1413,0.0155,-0.0207,0.0687,0.0727,0.0529,0.093,0.0546,-0.0045,0.051,0.021,0.0782
01/02/1980,-0.0577,-0.0234,-0.0486,-0.0339,-0.0637,-0.0467,-0.008,-0.0464,-0.0126,-0.0115,-0.0225,0.0029,-0.0338,-0.0431,-0.0641,-0.0806,0.0519,-0.009,0.1318,-0.0342,-0.014,-0.0347,-0.0359,0.002,-0.0453,-0.0256,-0.0552,-0.0564,-0.0501,-0.0226
01/03/1980,-0.0822,-0.1414,-0.0067,-0.0874,-0.1161,-0.0446,-0.0549,-0.0285,-0.1214,-0.1452,-0.147,-0.1849,-0.1264,-0.0893,-0.0999,-0.1221,-0.2129,-0.211,-0.1788,-0.066,-0.0266,-0.1524,-0.1269,-0.1129,-0.14,-0.1481,-0.0784,-0.1329,-0.0895,-0.1591
01/04/1980,0.0747,0.0415,0.0956,0.043,0.0286,0.0431,0.0241,0.0429,0.0504,0.0493,0.0368,0.023,0.0037,0.0242,-0.0249,-0.0202,0.0125,0.0133,0.0692,0.1204,0.0733,0.09,0.0054,0.035,0.0028,0.0394,0.0481,0.0665,0.0688,0.0746
01/05/1980,0.079,0.0947,0.0903,0.0468,0.0975,0.0641,0.0179,0.0697,0.0757,0.0725,0.0859,0.052,0.0591,0.0793,0.0325,0.0039,0.0772,0.1655,0.0401,0.046,0.05,0.0759,0.048,0.0691,0.1146,0.1223,0.0958,0.1185,0.0786,0.0726
01/06/1980,0.0203,0.0371,0.0567,0.0021,0.0283,0.0117,0.0425,0.0022,0.0227,0.0181,0.0484,0.0241,0.0633,0.0064,0.0181,0.0031,0.1316,0.0634,0.0583,0.0455,-0.0057,0.0407,0.0311,0.0105,0.0164,0.0203,0.0245,0.0402,0.0485,0.0471
01/07/1980,0.0527,0.0902,0.073,0.0858,0.1098,0.1041,0.1503,0.0888,0.0857,0.1148,0.1275,0.1274,0.1182,0.1461,0.1285,0.1132,0.0819,0.0643,0.0196,-0.0012,0.01,0.1293,0.1521,0.0973,0.165,0.1195,0.1095,0.0955,0.0319,0.1022
01/08/1980,0.0029,0.0124,-0.0071,0.0392,0.0497,0.0085,0.0172,0.0027,0.0315,0.0492,0.0116,0.0112,0.0098,-0.0084,0.0329,0.0199,0.0615,0.0011,0.037,-0.0117,0.063,0.0705,0.0359,-0.0013,0.0029,0.0696,0.0025,0.0058,0.0187,0.0487
01/09/1980,-0.0082,0.0107,-0.0157,0.0358,0.0419,0.0049,0.0276,0.0362,0.0207,-0.001,0.0167,0.0458,0.0591,0.0177,0.0181,0.0437,0.1232,0.072,0.0652,0.0012,-0.0162,0.0585,0.0202,-0.002,0.0158,0.0723,-0.0073,0.0341,0.026,0.0469
01/10/1980,-0.0117,0.0048,0.0389,0.0043,-0.0069,0.0051,0.008,-0.0124,-0.0096,0.0182,0.0372,-0.0103,0.0352,0.0247,-0.0423,-0.0276,-0.004,0.0075,0.0784,0.0192,-0.0321,0.0417,0.018,0.0054,0.0571,-0.003,-0.018,-0.0135,0.0008,0.0367
01/11/1980,-0.003,0.0015,0.0249,0.1747,0.037,0.0544,0.0281,0.0888,0.0928,-0.017,0.067,0.0561,0.1262,0.1195,-0.0097,0.177,0.0724,0.1462,0.244,0.0739,-0.0046,0.0956,0.098,0.0592,0.1297,0.0909,0.0061,-0.0109,0.0558,0.1087
01/12/1980,0.0302,-0.0405,0.0083,-0.0371,0.0141,-0.0082,-0.0146,0.0461,-0.0196,-0.027,-0.0416,-0.0435,-0.0412,-0.0462,-0.0007,0.0521,-0.0777,-0.0969,-0.106,-0.0192,0.0122,-0.0309,-0.0125,-0.0269,-0.0569,-0.0677,0.003,0.0012,0.0312,0.0199
01/01/1981,0.0234,0.0458,-0.0107,-0.0418,-0.011,-0.0099,0.0783,-0.0162,0.0077,0.0725,-0.0211,0.0071,-0.0667,-0.0248,-0.0119,-0.0776,-0.0808,-0.0803,-0.1018,-0.0256,0.0555,-0.0198,-0.0823,0.0129,0.0226,-0.0306,0.0042,0.0086,-0.0274,-0.0659
01/02/1981,0.0228,0.0317,0.0324,0.0356,0.0239,0.0899,0.0239,0.018,0.0396,0.0119,0.0347,0.026,0.0339,0.0206,0.0692,-0.0342,-0.0361,-0.0067,-0.0031,-0.0127,0.0213,0.009,0.0051,0.0735,0.0199,-0.0142,0.0327,0.0727,0.0188,0.0124
01/03/1981,0.0696,0.0798,0.0546,0.1365,0.0805,0.0301,0.0877,0.0587,0.0256,0.048,0.083,0.1994,0.0552,0.0936,0.0772,0.0269,0.2448,0.0439,-0.0212,0.03,0.0117,0.0977,0.047,0.066,0.1176,0.129,0.1367,0.0963,0.0696,0.0575
01/04/1981,0,-0.0205,0.01,0.021,0.0556,-0.0048,-0.0329,0.0303,-0.0232,0.1066,-0.0199,-0.0161,-0.0002,0.0491,0.0172,0.0094,-0.0651,-0.0649,-0.0781,-0.0269,0.062,0.0455,-0.0006,-0.0377,0.0195,-0.0131,0.0406,0.0442,0.0065,0.023
01/05/1981,0.0275,0.0131,0.0187,0.0584,0.0492,-0.0017,0.0166,0.0346,-0.0134,0.0064,0.0017,-0.005,-0.0094,0.034,0.0291,-0.0091,-0.0014,0.0034,-0.04,0.0184,0.0721,0.0306,0.0428,-0.0041,0.0527,0.0197,0.0261,0.0315,0.0274,0.0414
01/06/1981,-0.0085,0.0059,0.0133,-0.0616,-0.0083,-0.0163,0.0159,-0.056,0.0227,-0.0033,-0.0161,-0.054,-0.0308,-0.0463,-0.0274,-0.0258,-0.0253,0.0116,0.0475,0.0346,-0.0191,-0.0422,-0.0682,0.0005,-0.0703,-0.0255,-0.0117,-0.0125,0.017,-0.0549
01/07/1981,-0.0135,-0.0109,0.0222,-0.0681,-0.0211,-0.0286,0.0055,-0.039,-0.0389,-0.03,-0.0531,0.0014,0.0084,-0.0545,-0.0344,-0.0699,0.0472,0.0909,0.0793,0.028,0.0034,-0.0353,-0.0369,-0.0363,-0.0448,-0.0368,-0.0284,-0.0618,-0.0309,-0.0151
01/08/1981,-0.0462,-0.0575,-0.0572,-0.0621,-0.0408,-0.0622,-0.054,-0.0775,-0.0646,-0.0632,-0.0628,-0.074,-0.0676,-0.0451,-0.0897,-0.117,0.0045,-0.1237,-0.0627,-0.0085,-0.0077,-0.063,-0.072,-0.0721,-0.0789,-0.0324,-0.0614,-0.1033,-0.0518,-0.0783
01/09/1981,-0.0202,-0.0057,0.0026,-0.0182,-0.0494,-0.0233,-0.032,-0.0129,-0.0897,-0.0224,-0.0909,-0.0944,-0.0979,-0.0537,-0.0395,-0.048,-0.1223,-0.0876,-0.1234,-0.0554,0.0284,-0.0677,-0.037,-0.0677,-0.0567,-0.0849,-0.0275,-0.0305,-0.0252,-0.0836
01/10/1981,0.0899,0.083,0.0587,0.1151,0.088,0.0155,0.0128,0.0796,0.062,0.0586,0.0026,0.0137,0.0437,0.0397,-0.087,0.0775,-0.0057,0.139,0.0956,0.0489,0.0602,0.1049,0.0469,0.0163,0.0896,0.0853,0.0557,0.1092,0.0747,0.0923
01/11/1981,0.0172,0.0335,0.0375,0.006,0.053,0.0594,0.0023,0.0394,0.039,0.0028,0.0624,0.044,0.0641,0.0352,0.0288,-0.0232,0.0277,0.0541,0.0687,0.0595,0.027,0.0345,0.0171,0.0921,0.0486,0.0161,0.0116,0.0152,0.0566,0.0123
01/12/1981,0.0034,-0.0213,-0.0595,-0.0146,-0.0311,-0.0128,-0.0264,-0.0074,-0.025,0.0107,-0.0182,-0.0268,-0.026,-0.0054,0.0323,0.0017,-0.067,-0.059,-0.0642,-0.0235,-0.0145,-0.0184,0.0016,-0.019,-0.0393,-0.0265,-0.0171,-0.0342,-0.0386,-0.0296
01/01/1982,-0.0051,0.0185,0.0069,0.0447,-0.0442,0.0472,-0.0156,0.0144,-0.0482,0.0228,-0.0646,-0.0886,-0.0549,-0.0212,-0.0099,-0.0312,-0.1494,-0.0749,-0.0848,-0.0067,0.0067,-0.0401,0.0309,-0.0341,-0.0347,-0.0216,0.0121,-0.0067,-0.0212,-0.0383
01/02/1982,-0.0071,-0.0155,-0.0366,-0.0616,-0.0141,-0.0334,-0.0406,-0.0174,-0.0728,-0.0443,-0.0592,-0.0472,-0.0814,-0.0393,-0.0331,-0.0629,-0.0802,-0.1293,-0.1118,-0.0034,-0.0569,-0.0526,-0.051,-0.0252,-0.048,-0.0353,-0.0058,-0.0275,-0.0295,-0.0402
01/03/1982,0.0321,0.0473,0.0365,0.0521,-0.0009,0.01,0.006,-0.0256,-0.0132,0.0044,-0.0304,-0.0515,-0.043,0.0242,0.0446,0.0049,-0.1207,-0.0657,-0.0338,0.0166,0.0205,-0.0224,-0.0379,-0.0169,0.0095,-0.0037,0.0503,0.0721,-0.01,-0.0182
01/04/1982,0.0638,0.0993,0.0713,0.0399,0.0509,0.0208,0.0658,0.0739,0.0492,0.1022,0.0306,0.016,0.006,0.0665,0.0508,0.0679,-0.0031,0.0333,0.0433,0.0385,-0.0136,0.0782,0.0736,0.036,0.0366,0.0332,0.0595,0.052,0.0316,0.0627
01/05/1982,-0.0249,-0.0256,-0.0474,-0.0608,-0.054,-0.0199,-0.002,-0.0305,-0.0446,-0.0292,-0.0576,-0.07,-0.0805,-0.0349,-0.0011,-0.0532,-0.0702,-0.1013,0.0248,-0.0054,0.002,-0.0525,-0.0539,-0.0553,-0.0641,-0.0227,-0.0264,-0.0442,-0.0552,-0.0405
01/06/1982,0.0206,0.0205,0.027,0.0233,-0.0024,0.0156,0.0283,-0.0075,-0.0487,-0.0308,-0.0286,-0.0687,-0.0624,-0.0201,0.0386,-0.008,-0.0859,-0.0587,-0.0627,-0.0221,-0.0245,-0.0272,-0.0228,0.0024,0.0052,-0.0114,0.0343,0.018,-0.0262,-0.034
01/07/1982,0.0072,0.0853,-0.055,-0.0097,-0.015,0.0165,-0.0157,0.0078,-0.0439,0.0156,-0.0232,-0.0457,-0.0585,-0.0172,-0.0371,0.0334,-0.0729,-0.1078,-0.0809,-0.0259,0.012,-0.0108,0.0199,-0.0213,-0.0588,-0.0167,0.0057,-0.0013,-0.0303,-0.0018
01/08/1982,0.0712,0.0412,0.1359,0.0291,0.1192,0.1245,0.1145,0.1244,0.1531,0.0919,0.1478,0.1349,0.1112,0.1544,0.1581,0.1933,0.2103,0.1077,0.1004,0.1208,0.1085,0.1176,0.1282,0.1524,0.1175,0.1628,0.1168,0.1179,0.1148,0.0941
01/09/1982,0.035,0.0444,0.0439,-0.0032,0.0852,0.003,0.1098,0.0136,-0.0042,0.0265,0.0085,-0.0523,-0.0478,-0.025,-0.0152,0.0024,0.0046,-0.0263,0.0189,0.0107,0.01,0.0582,0.0089,0.0008,-0.0303,0.039,0.057,0.0127,0.06,0.0294
01/10/1982,0.0684,0.0747,0.1216,0.2046,0.1616,0.1195,0.1276,0.0822,0.1251,0.1679,0.1948,0.0929,0.1131,0.1794,0.1721,0.1367,0.1312,0.0919,0.0546,0.0473,0.0812,0.1784,0.1644,0.158,0.1836,0.1784,0.1722,0.124,0.1517,0.1506
01/11/1982,0.0486,0.0707,-0.0209,0.0796,0.1057,0.087,0.099,0.0517,0.0305,0.0399,0.1153,0.0364,0.0475,0.073,0.0845,0.0304,0.0387,-0.004,-0.0462,0.0012,0.06,0.1052,0.1047,0.0508,0.1152,0.1117,0.1198,0.0625,0.065,0.0875
01/12/1982,0.0118,-0.0397,-0.0041,-0.1379,0.0362,-0.0123,0.0073,0.0058,-0.0202,0.0455,0.0308,0.0572,0.0463,0.0154,0.0593,0.0244,0.1295,0.014,0.0557,0.0434,-0.0123,-0.0026,0.0306,0.0069,-0.0082,0.0014,-0.0298,-0.0142,-0.0236,0.0046
01/01/1983,-0.0071,0.0151,-0.0141,0.0516,-0.0305,0.038,-0.0173,0.0142,0.0917,0.0422,0.0328,0.0814,0.0599,0.0625,0.0235,0.0856,0.1687,0.071,0.036,0.0367,0.1244,0.0808,0.0827,0.0162,0.0662,0.0459,0.0073,-0.0001,0.0057,0.0618
01/02/1983,0.0108,0.0415,0.02,0.0933,0.0853,0.0451,0.0979,0.0283,0.0418,0.0592,0.0449,0.0387,0.0064,0.0519,0.005,0.0572,-0.1503,-0.0796,-0.0051,0.0159,-0.0037,0.0656,0.0354,0.0586,0.0581,0.0867,0.0748,0.0931,0.0542,0.0467
01/03/1983,0.0562,0.1165,0.0571,-0.038,0.0863,0.0041,0.1321,0.0454,0.0113,0.0808,0.054,0.0293,0.0058,-0.0191,-0.009,0.06,0.0354,-0.0015,0.0598,0.0025,0.0064,0.0228,0.0072,0.0253,0.018,0.0361,0.1057,0.0424,0.0681,0.0207
01/04/1983,0.052,0.0509,0.0454,0.052,0.0887,0.06,0.087,0.0505,0.0877,0.0679,0.0452,0.0305,0.0567,0.0082,0.1588,0.0666,0.0965,0.0269,0.0942,0.0478,0.0514,0.0638,0.0756,0.0814,0.0325,0.0656,0.097,0.0699,0.0922,0.0891
